qname,path_count,parent_count,total_occurrences
curr:SwazilandLilangeni,4,2,4
curr:SwedishKrona,4,2,4
curr:SwissFranc,4,2,4
curr:SyrianPound,4,2,4
curr:TaiwaneseNewDollar,4,2,4
curr:TajikistaniSomoni,4,2,4
curr:TanzanianShilling,4,2,4
curr:ThaiBaht,4,2,4
curr:TonganPaanga,4,2,4
curr:TrinidadTobaganDollar,4,2,4
curr:TunisianDinar,4,2,4
curr:TurkishLira,4,2,4
curr:TurkmenistaniManat,4,2,4
curr:UAEDirham,4,2,4
curr:UgandanShilling,4,2,4
curr:UICFranc,4,2,4
curr:UkrainianHryvnia,4,2,4
curr:UnidadDeFormento,4,2,4
curr:UnidadDeValorReal,4,2,4
curr:UruguayanPeso,4,2,4
curr:UruguayanPesoEnUnidadesIndexadasURUIURUI,4,2,4
curr:USDollarNextDay,4,2,4
curr:USDollarSameDay,4,2,4
curr:UzbekistaniSom,4,2,4
curr:VanuatanVatu,4,2,4
curr:VenezuelanBolivar,4,2,4
curr:VietnameseDong,4,2,4
curr:WIREuro,4,2,4
curr:WIRFranc,4,2,4
curr:YemeniRial,4,2,4
curr:ZambianKwacha,4,2,4
curr:ZimbabweanDollar,4,2,4
core:CorporateDebtSecuritiesHeld,4,2,4
core:FurtherEmployeeExpenseItemComponentTotalEmployeeBenefitsExpense,4,2,4
core:FurtherItemBorrowingsComponentTotalBorrowings,4,2,4
core:FurtherItemFinancialAssetsPledgedAsCollateralComponentTotalFinancialAssetsPledgedAsCollateral,4,2,4
core:CurrentAssetInvestments,4,2,4
core:DebtSecuritiesPledgedAsCollateral,4,2,4
core:AdvancesOnInvoiceDiscountingFacilities,4,2,4
core:AlternativeWagesSalariesSub-totalsHeading,4,2,4
core:LegislativeChanges,4,2,4
core:LoanCapital,4,2,4
core:LoansAdvancesPledgedAsCollateral,4,2,4
core:LoansAdvancesToBanksPledgedAsCollateral,4,2,4
core:LoansAdvancesToCustomersPledgedAsCollateral,4,2,4
core:LoansFromGovernmentOtherPublicAuthorities,4,2,4
core:LoansReceivables,4,2,4
core:LocalAuthorityOtherPublicSectorDebtSecuritiesHeld,4,2,4
core:DeferredTaxation,4,2,4
core:ManagementFeeIncome,4,2,4
core:MarginAccountsDueFromBrokers,4,2,4
core:NameMostSeniorParentEntityProducingPubliclyAvailableFinancialStatements,4,2,4
core:NameParentEntity,4,2,4
core:NameUltimateControllingPartyIfNotUltimateParent,4,2,4
core:NameUltimateParentGroupIfNotParentEntity,4,2,4
core:BiologicalAssetsCurrent,4,2,4
core:DescriptionCircumstancesLeadingToReversalsInventoryWrite-down,4,2,4
core:GovernmentDebtSecuritiesHeld,4,2,4
core:BiologicalAssetsNon-current,4,2,4
core:GrossInvestmentInFinanceLeases,4,2,4
core:OtherEmployeeExpense,4,2,4
core:OtherFeeIncome,4,2,4
core:Held-to-maturityFinancialAssets,4,2,4
core:OtherLong-termBenefitsExpense,4,2,4
core:BrokerageFeeIncome,4,2,4
core:OtherRegulatoryMatters,4,2,4
core:OtherRemainingBorrowings,4,2,4
core:OtherShort-termEmployeeBenefits,4,2,4
core:OtherSpecificFinancialAssetsDebtSecuritiesHeading,4,2,4
core:ParentEntityOrControllingPartyUltimateControllingPartyGrouping,4,2,4
core:ParentLargestGroupInWhichResultsAreConsolidatedHeading,4,2,4
core:ParentSmallestGroupInWhichResultsAreConsolidatedHeading,4,2,4
core:PensionOtherPost-employmentBenefitCostsOtherPensionCosts,4,2,4
core:Pensions,4,2,4
core:Post-employmentBenefits,4,2,4
core:DescriptionRelationshipsBetweenEntityParentsIncludingAnyChanges,4,2,4
core:ProfitLoss,4,4,4
core:ProfitLossAttributableToNon-controllingInterests,4,4,4
core:ReceivablesForSecuritiesSoldButNotYetSettledDueFromBrokers,4,2,4
core:RedeemablePreferenceSharesLiability,4,2,4
core:AssetMortgage-backedSecuritiesHeld,4,2,4
core:ReversalInventoryWrite-downGross,4,2,4
core:RiskAdjustmentForNon-financialRisk,4,4,4
core:EmployeeBenefitsFree-textComment,4,2,4
core:IntermediateParent1,4,2,4
core:IntermediateParent2,4,2,4
core:IntermediateParent3,4,2,4
core:IntermediateParent4,4,2,4
core:IntermediateParent5,4,2,4
core:SocialSecurityContributions,4,2,4
