qname,path_count,parent_count,total_occurrences
core:Subsidiary199,2,2,2
core:Subsidiary2,2,2,2
core:Subsidiary20,2,2,2
core:Subsidiary200,2,2,2
core:Subsidiary21,2,2,2
core:Subsidiary22,2,2,2
core:Subsidiary23,2,2,2
core:Subsidiary24,2,2,2
core:Subsidiary25,2,2,2
core:Subsidiary26,2,2,2
core:Subsidiary27,2,2,2
core:Subsidiary28,2,2,2
core:Subsidiary29,2,2,2
core:Subsidiary3,2,2,2
core:Subsidiary30,2,2,2
core:Subsidiary31,2,2,2
core:Subsidiary32,2,2,2
core:Subsidiary33,2,2,2
core:Subsidiary34,2,2,2
core:Subsidiary35,2,2,2
core:Subsidiary36,2,2,2
core:Subsidiary37,2,2,2
core:Subsidiary38,2,2,2
core:Subsidiary39,2,2,2
core:Subsidiary4,2,2,2
core:Subsidiary40,2,2,2
core:Subsidiary41,2,2,2
core:Subsidiary42,2,2,2
core:Subsidiary43,2,2,2
core:Subsidiary44,2,2,2
core:Subsidiary45,2,2,2
core:Subsidiary46,2,2,2
core:Subsidiary47,2,2,2
core:Subsidiary48,2,2,2
core:Subsidiary49,2,2,2
core:Subsidiary5,2,2,2
core:Subsidiary50,2,2,2
core:Subsidiary51,2,2,2
core:Subsidiary52,2,2,2
core:Subsidiary53,2,2,2
core:Subsidiary54,2,2,2
core:Subsidiary55,2,2,2
core:Subsidiary56,2,2,2
core:Subsidiary57,2,2,2
core:Subsidiary58,2,2,2
core:Subsidiary59,2,2,2
core:Subsidiary6,2,2,2
core:Subsidiary60,2,2,2
core:Subsidiary61,2,2,2
core:Subsidiary62,2,2,2
core:Subsidiary63,2,2,2
core:Subsidiary64,2,2,2
core:Subsidiary65,2,2,2
core:Subsidiary66,2,2,2
core:Subsidiary67,2,2,2
core:Subsidiary68,2,2,2
core:Subsidiary69,2,2,2
core:Subsidiary7,2,2,2
core:Subsidiary70,2,2,2
core:Subsidiary71,2,2,2
core:Subsidiary72,2,2,2
core:Subsidiary73,2,2,2
core:Subsidiary74,2,2,2
core:Subsidiary75,2,2,2
core:Subsidiary76,2,2,2
core:Subsidiary77,2,2,2
core:Subsidiary78,2,2,2
core:Subsidiary79,2,2,2
core:Subsidiary8,2,2,2
core:Subsidiary80,2,2,2
core:Subsidiary81,2,2,2
core:Subsidiary82,2,2,2
core:Subsidiary83,2,2,2
core:Subsidiary84,2,2,2
core:Subsidiary85,2,2,2
core:Subsidiary86,2,2,2
core:Subsidiary87,2,2,2
core:Subsidiary88,2,2,2
core:Subsidiary89,2,2,2
core:Subsidiary9,2,2,2
core:Subsidiary90,2,2,2
core:Subsidiary91,2,2,2
core:Subsidiary92,2,2,2
core:Subsidiary93,2,2,2
core:Subsidiary94,2,2,2
core:Subsidiary95,2,2,2
core:Subsidiary96,2,2,2
core:Subsidiary97,2,2,2
core:Subsidiary98,2,2,2
core:Subsidiary99,2,2,2
core:TaxationIncludingDeferredTaxation,2,2,2
core:TaxExpenseCreditOnConvertibleNotesRecognisedInEquity,2,2,2
core:TaxExpenseCreditOnDepreciationTransferRevaluationSurplusRecognisedInEquity,2,2,2
core:TaxExpenseCreditOnShare-basedPaymentArrangementRecognisedInEquity,2,2,2
core:TaxExpenseCreditRelatingToGainOrLossOnDiscontinuanceOperations,2,2,2
core:TaxJurisdictionDimension,2,2,2
core:TaxTaxCreditOnProfitOrLossOnOrdinaryActivities,2,2,2
core:TotalAssets,2,2,2
core:TotalBorrowings,2,2,2
core:TotalGainLossOnCashFlowHedgesBeforeTaxInOtherComprehensiveIncome,2,2,2
core:TotalGainLossOnCashFlowHedgesNetTaxInOtherComprehensiveIncome,2,2,2
core:TotalLiabilities,2,2,2
core:TotalOperatingLeasePayments,2,2,2
core:TradePayablesPolicy,2,2,2
core:TradeReceivablesPolicy,2,2,2
core:UltimateParent,2,2,2
core:UnconsolidatedStructuredEntity1,2,2,2
core:UnconsolidatedStructuredEntity2,2,2,2
core:UnconsolidatedStructuredEntity3,2,2,2
core:UnconsolidatedStructuredEntity4,2,2,2
core:UnconsolidatedStructuredEntity5,2,2,2
core:UnitTrusts,2,2,2
core:Unrated,2,2,2
core:UnwindingDiscountOnProvisionsExpense,2,2,2
core:UseContingentLiabilitiesDimensionToIdentifyIndividualTypesContingentLiabilityGuidance,2,2,2
core:UseEquityClassesDimensionToIdentifyIndividualClassesEquityOrReserveGuidance,2,2,2
core:UseExceptionalsDimensionToIdentifyExceptionalSpecificNon-exceptionalValuesGuidance,2,2,2
core:UseFinancialAssetsClassesCategoriesDimensionToIdentifyIndividualAssetClassesAcquiredGuidance,2,2,2
core:UseMarketRiskTypeDimensionToIdentifyIndividualTypesMarketRiskGuidance,2,2,2
core:UsePost-employmentBenefitPlansDimensionToIdentifyIndividualPlansGuidance,2,2,2
core:UseProvisionsDimensionToIdentifyIndividualTypesProvisionGuidance,2,2,2
core:UseRelatedPartyTransactionTypeDimensionToIdentifyNatureTransactionGuidance,2,2,2
core:UtilitiesCosts,2,2,2
core:VacantProperties,2,2,2
core:Warranties,2,2,2
core:WorkInProgress,2,2,2
countries:AllCountries,2,2,2
curr:AllCurrencies,2,2,2
curr:FullCurrenciesListHeading,2,2,2
curr:MainCurrenciesHeading,2,2,2
curr:OtherCurrencies,2,2,2
direp:AlternativePerformanceMeasuresHeading,2,2,2
direp:BonusesDirectors,2,2,2
direp:CompanyContributionsToDefinedBenefitPlansDirectors,2,2,2
direp:CompanyContributionsToMoneyPurchasePlansDirectors,2,2,2
direp:CompensationForLossOfficeDirectors,2,2,2
direp:DIDescriptionOtherGenderCategory,2,2,2
direp:PaymentsToThirdPartiesForDirectorServices,2,2,2
direp:PoliticalDonations,2,2,2
direp:SalariesFeesDirectors,2,2,2
direp:UseDescriptionOtherGenderCategoryToRecordGenderDescriptionForGenericOtherGenderCategoryDimensionMemberGuidance,2,2,2
lang:EnglishDefault,2,2,2
aurep:UseThirdPartyAgentStatusDimensionToIdentifyAuditorsInCasesMultipleAuditorsOrJointAuditorsGuidance,2,2,2
lang:Welsh,2,2,2
bus:DescriptionPrincipalActivities,2,2,2
bus:NameEntityAccountants,2,2,2
bus:NameEntityAuditors,2,2,2
bus:NameEntityOfficer,2,2,2
bus:ReportAnAmendedRevisedVersionPreviouslyFiledReportTruefalse,2,2,2
bus:UseEntityOfficersDimensionToIdentifyPositionEntityOfficerGuidance,2,2,2
